IGNORE,gold_label,Premise,Hypothesis,pred_label,satisfactory_score,pred_expl,Expl_1,Expl_2,Expl_3,smallestMED
111,neutral,"A man wearing sunglasses is sitting on the steps outside , reading a magazine .",The man is reading tips on how to be a better boy friend .,neutral,1, reading a magazine does not imply reading tips .,a magazine has other articles besides tips on how to be a better boyfriend .,reading a magazine does n't imply he 's reading tips on how to be a better boyfriend .,the man could be reading something other than tips .,41
112,contradiction,"A man wearing sunglasses is sitting on the steps outside , reading a magazine .",The man is reading a spoon with the words `` HELP ME '' on it .,contradiction,0, a magazine is not a book .,reading a spoon with something written on it does not imply reading a magazine .,magazine does n't mean spoon,a man can not be reading a magazine and a spoon at the same time .,47
113,contradiction,"A woman sitting outside weaving a long piece of red , white , and blue cloth .",He is jumping over a house,contradiction,1, sitting and jumping are different .,a person can not be weaving and jumping over a house at once .,a woman is n't usually a man and if she 's sitting she ca n't be also jumping .,the word he can not be used to refer to a woman .,22
114,entailment,"A woman sitting outside weaving a long piece of red , white , and blue cloth .",She is working with cloth,neutral,0, weaving does not imply working with cloth .,she is the pronoun use for a woman subject ; a woman weaving a cloth is working with a cloth .,a woman is sitting outside and weaving with cloth,weaving is a form of working,17
115,neutral,"A woman sitting outside weaving a long piece of red , white , and blue cloth .",She is weaving an american flag,neutral,1, the woman is not necessarily weaving an american flag .,"red , white and blue cloth is not assumed to be the american flag .","just because it 's red , white , and blue does n't mean it 's an american flag .","many flags and cloth design use the colors red , white , and blue that are not an american flag .",21
116,entailment,A person powerwashing stairs leading down to a pool .,a person washes stairs,entailment,0, a person who is sweeping stairs is a person who is sweeping stairs .,stairs is the same as washes stairs,a person is the stairs,is a form of washing .,38
117,entailment,A person powerwashing stairs leading down to a pool .,a worker cleans near the pool,neutral,0, a person does not have to be a worker .,"worker , refers to the the person the stairs .",implies that the person is cleaning and it 's leading down to the pool which means it is near the pool .,is a type of cleaning .,26
119,contradiction,A person rides his bicycle in the sand beside the ocean .,A person is falling off his bike .,contradiction,1, a person can not be falling off his bike and rides his bicycle at the same time .,one can not be riding a bicycle and falling simultaneously .,if he is falling off the bike he no longer rides it .,a person can not be riding and falling off of a bike at the same time .,37
120,contradiction,A person rides his bicycle in the sand beside the ocean .,A person is on a boat .,contradiction,1, a person can not ride a bicycle in the sand beside a ocean and on a boat at the same time .,one can not be on a boat and riding his bicycle at the same time,person ca n't be on boat if they are in sand,"if the person is riding his bicycle , then he is not on a boat .",40
122,entailment,"Two black little boys hanging over an upside down bicycle , one examining the pedal .",Children were looking at a bike .,entailment,1, two little boys are children and examining is a synonym of looking .,examining and looking are synonyms .,children includes two black little boys and of them hanging over an upside down bicycle means must be looking at a bike .,two black boys hanging over upside down bike one examining pedal .,46
123,neutral,"Two black little boys hanging over an upside down bicycle , one examining the pedal .",the children are outside .,entailment,0," two little boys are children and if they are hanging over an upside down bicycle , then they are outside .",the children would not be outside .,hanging over an upside down bicycle does n't imply that the children are outside .,looking at a bike is not necessarily an outside job .,55
124,contradiction,"Two black little boys hanging over an upside down bicycle , one examining the pedal .",Someone is riding a bike .,entailment,0," two boys are someone , and someone is riding a bike .",there are two little boys not just one person looking at the bike,two implies more than one person ; one can not examine the pedal of a bike while it .,a person can not be riding a bike while the bicycle is upside down .,21
125,neutral,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background .,The dogs are out to catch fish .,neutral,1, just because the dogs are in the water does not mean they are out to catch fish .,it is not necessarily true that they are trying to catch a fish .,being at the edge of the ocean does n't mean they are necessarily out to catch fish .,dogs ca n't catch fish .,45
126,contradiction,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background .,The pets are sleeping on the grass .,contradiction,1, the animals can not be in the edge of the ocean and sleeping on the grass simultaneously .,there is n't grass at the edge of the ocean .,"if they are in the edge of the ocean , they can not possibly be sleeping on the grass .",grass is not usually found on the edge of the ocean .,54
127,entailment,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background .,The dogs are swimming among the boats .,neutral,1, the dogs are not necessarily swimming among the boats .,dogs are swimming in the ocean .,"if there is a black and brown dog in the edge of the ocean , the dogs could be swimming .",the ocean is for swimming .,18
128,entailment,A group of people prepare hot air balloons for takeoff .,A group of people are outside .,entailment,1," if people prepare hot air balloons for flight , they are outside .",hot air balloons are used outside .,the people prepare hot air balloons for takeoff this indicates that they are outside .,a group of people referred to must be outside as preparing hot air balloons for takeoff is not an indoor activity .,29
129,contradiction,A group of people prepare hot air balloons for takeoff .,A group of people prepare cars for racing .,contradiction,1, hot air balloons are not cars .,it can not be both cars and hot air balloons being prepared simultaneously,people who prepare hot air balloons for takeoff are do not prepare cars for racing .,hot air balloons are not cars .,30
130,neutral,A group of people prepare hot air balloons for takeoff .,There are hot air balloons on the ground and air .,entailment,0," if the people are preparing hot air balloons , then they are on the ground and air .",you can not infer they are on the ground and air .,preparing hot air balloons for takeoff does n't necessarily mean there are already hot air balloons in the air .,takeoff implies the ballons are still on the ground and not yet in the air .,35
131,entailment,Men stand on steps leading out of a body of water,Men are standing on some steps near some water .,entailment,0, steps are some kind of water .,the man is standing on the steps .,steps near water can be considered steps leading out of water .,standing on steps near some water would include steps leading out of water .,27
132,contradiction,Men stand on steps leading out of a body of water,Men are sitting outside near a golf course .,contradiction,1, the men can not be both sitting and standing at the same time .,men are either standing leading to a body of water or sitting near a golf course,if the men stand they can not be sitting at the same time .,men ca n't be sitting if they stand,42
133,neutral,Men stand on steps leading out of a body of water,Men are standing by a docked boat .,neutral,0, men standing on steps does not imply they are standing on a boat boat .,men standing on steps near water are not necessarily by a docked boat .,standing on the steps leading out of a body of water does n't imply standing by a docked boat .,not all bodies of water have a docked boat in them .,38
135,contradiction,A group of young people with instruments are on stage .,Young people are playing water polo .,contradiction,1, the people are either playing water polo or playing instruments .,the people can not simultaneously be on stage and be playing water polo,if the young people are on stage they can not be playing water polo,water polo is not played with instruments on stage .,35
136,neutral,A group of young people with instruments are on stage .,People are playing music .,neutral,1, people with instruments are on stage does not imply they are playing music .,"the young people could just be displaying the instruments , having an instrument and playing music are different things .","the group has instruments and are on a stage , but nothing shows that they are playing the instruments .",just because a group of young people with instruments are on stage does n't mean they are playing music .,30
137,entailment,A long-beaked bird in mid-flight .,A bird flying .,entailment,0, a bird in a is a type of bird .,flying and mid-flight are synonyms .,the bird can not be mid-flight unless it is currently flying .,a bird in mid-flight .,21
138,contradiction,A long-beaked bird in mid-flight .,A rat running on a wheel .,contradiction,1, a bird is not a rat .,a bird is different from a rat .,a bird is not a rat ; an animal in mid-flight can not be running on a wheel simultaneously .,"a bird and a rat are not the same thing ; if the is running , it is not in mid-flight .",17
139,neutral,A long-beaked bird in mid-flight .,A bird chasing an insect .,entailment,0, a bird in an owl is chasing an insect .,being in mid flight does not mean it is chasing an insect .,a bird flying is n't always chasing insects .,just because a bird in mid-flight does n't mean the bird chasing an insect .,15
140,neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt .,The boy is outside and running from cops .,contradiction,0, the boy is either pulling onto a gun or is running from cops .,just because holding onto a gun does not mean he is running from cops .,there is no mention of police in sentence one ; the boy may or may not be running from cops .,just because a young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt does n't mean he is running from cops .,28
141,neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt .,The young boy is completing a heist .,neutral,0, just because a young man is holding onto a gun that is secured to a vehicle does not mean he is completing a .,not all armed young boys speeding away in cars are completing a heist .,"there is no indication of the boy 's intent or what has come before ; he may have completed a heist , or he may be on his way to one .",just because a young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt does n't mean he is completing a heist .,79
142,neutral,A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt .,The bank has just been robbed .,contradiction,0, a bank bank is not a car .,the bank has not necessarily just been robbed .,"we do n't know the intent of the boy in question , or his ; the bank may have been robbed , but there is nothing that connects event 1 with event 2 .",just because a young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt does n't mean the bank has just been robbed .,19
143,neutral,A man in the middle east with a corn-on-the-cob cart selling corn .,An old middle eastern man is selling corn-on-the-cob from his brother 's cart .,neutral,1, the man is not necessarily old and the man is not necessarily the man 's brother 's .,you can not infer the man is old .,"we do n't know the age of the man selling corn , so he could be young or old ; we do n't know who owns the cart ; it could belong to the man 's brother or to the man .",just because a man in the middle east with a cart selling corn does n't mean he is old .,60
144,entailment,A man in the middle east with a corn-on-the-cob cart selling corn .,"In the middle east , a man sells corn-on-the-cob from a cart .",entailment,0, the man is selling the cart .,cart selling corn is a rephrasing of sells from a cart .,the man is selling .,selling is the same as sells ; the man is selling corn from his cart .,38
145,contradiction,A man in the middle east with a corn-on-the-cob cart selling corn .,A middle east man is throwing corn at strangers .,contradiction,0, the man is either selling corn or at the cow .,a man with a cart could not have been throwing corn at strangers .,he can not sell corn if he is throwing it at strangers .,a man selling corn is not a man throwing corn .,30
146,entailment,A man in a black shirt is playing a guitar .,He is playing a song .,neutral,1, a man playing a guitar is not necessarily playing a song .,it makes sense for the guitarist to be playing a song,if the man is playing guitar the guitar will play music or a song .,"playing a guitar is playing a song , and man in a black shirt is he .",33
147,contradiction,A man in a black shirt is playing a guitar .,The man is wearing a blue shirt .,contradiction,1, the man is either wearing a black shirt or a blue shirt .,either the shirt is blue or it is black .,a man in a black shirt can not be wearing a blue shirt simultaneously .,the man can not be wearing a black shirt and a blue shirt .,26
149,contradiction,"Colorfully dressed people walk down the center of the road , with onlookers behind a barricade .",A group of people in a motorcade driving past an audience .,contradiction,1, people can not walk down the center of the road and be driving a at the same time .,walking and driving are different actions,the group of people either walk down the center of the road or are in a driving past an audience .,group of people ca n't be driving and at the same time walk down center of road,50
150,entailment,"Colorfully dressed people walk down the center of the road , with onlookers behind a barricade .",A group of people walking down a road .,entailment,0, a group of people are walking down the road of a road .,"a group of people walk down the road , with onlookers behind a barricade .",walk down the center of the road is inferred as walking down a road .,people can walk down a road whether in or group or not .,18
151,neutral,"Colorfully dressed people walk down the center of the road , with onlookers behind a barricade .",A group of people walking past a group of civilian spectators .,entailment,1, onlookers are people .,onlookers behind a barricade are n't always civilian spectators .,we do n't know the military status of the onlookers ; they could be civilian or military .,"just because colorfully dressed people walk down the center of the road , with onlookers behind a barricade does n't mean they are walking past a group of civilian spectators .",48
152,contradiction,A woman is talking on the phone while standing next to a dog .,A woman is sleeping .,contradiction,1, the woman can not be talking on the phone while sleeping .,the woman can not be both standing and talking on the phone while also sleeping .,if a woman is talking and standing on the phone then the woman is not sleeping .,a woman can not be talking while standing and sleeping .,32
153,neutral,A woman is talking on the phone while standing next to a dog .,A woman is walking her dog .,contradiction,0, talking on the phone is not the same as walking her dog .,a woman standing next to a dog is not necessarily walking her dog .,"the woman is standing next to a dog , but it may not be her dog ; we can not conclude that she is walking her dog .",just because a woman is talking on the phone while standing next to a dog does n't mean she is walking her dog .,29
154,entailment,A woman is talking on the phone while standing next to a dog .,A woman is on the phone .,entailment,0, a woman is talking on the phone is the same as a woman is on the phone .,"sentence 2 is a shortened version of sentence 1 , where a woman is on the phone .",a woman uses her phone,`` talking on the phone '' is the same as `` on the phone . '',25
155,neutral,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling .,The boys are all wearing yellow .,contradiction,0, the boys can not be wearing both a yellow and yellow shirt .,boys are not assumed to be wearing yellow .,"we know the boys are all wearing t-shirts , but we do not know the color of those t-shirts .",just because three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling does n't mean they are wearing yellow .,35
156,neutral,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling .,The boy is crouching down to take a picture .,contradiction,0, the boys are either holding a camera or crouching down .,just because a boy is holding a camera does n't mean that he is crouching down .,"just because he is holding a camera , does n't mean he is crouching .",a boy may hold a camera without intending to take a picture .,38
157,entailment,Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling .,The young boy has a camera .,entailment,1, three young boys one is holding a camera is the same as the young boy has a camera .,holding a camera implies has a camera .,"the boy holding a camera , has a camera .",the boy has a camera because he is holding a camera .,46
158,contradiction,5 women sitting around a table doing some crafts .,Five men stand on chairs .,contradiction,1, there can either be 5 women or five men .,the group is either of men or women ; the people are either sitting or standing .,they ca n't be both men and women .,they ca n't be both women and men .,26
160,neutral,5 women sitting around a table doing some crafts .,Five friends sit at a table .,neutral,1, not all women are friends .,friends are not always all women .,"just because they are sitting together , does n't mean they are friends .",women may sit at a table working on crafts without being friends .,24
161,neutral,Street performer with bowler hat and high boots performs outside .,The man is performing a magic act .,neutral,1, the performer is not necessarily performing a magic act .,"the street performer could be doing a different act , not just a magic act .","just because he is performing , does n't mean he is performing magic .",not all street performers do a magic act .,23
162,entailment,Street performer with bowler hat and high boots performs outside .,The person is performing .,entailment,0, street performer is a person .,if a person is performing outside it implies that they are a street performer .,a street performer is a person .,street performer is performing outside .,18
163,contradiction,Street performer with bowler hat and high boots performs outside .,The child is dancing inside .,contradiction,0, a child can not be a performer .,"the street performer most likely refers to an adult , not a child ; outside and inside are opposites .",the street performer is not be a child .,street performer ca n't be both inside and outside at same time .,22
164,neutral,A young boy playing in the grass .,The boy is playing make believe .,neutral,1, playing does not imply making make believe .,just because he is playing in the grass does not mean he is playing make believe .,"just because he is playing , there is no implication that he is playing make believe .",a boy may play in the grass and not be playing make believe .,19
165,entailment,A young boy playing in the grass .,There is a child in the grass .,entailment,1, a young boy is a child .,a young boy is a child .,a young boy is a child .,a young boy can be child .,18
166,contradiction,A young boy playing in the grass .,The boy is in the sand .,contradiction,0, the boy can not be in the sand and in the sand at the same time .,the boy can not play in the grass and the sand at the same time .,"the boy is either in the grass or the sand , not both .","if a boy is playing in the grass , he can not be in the sand at the same time .",37
167,neutral,Two men playing baseball with the one in the black and red jersey running toward base .,The man in black and red is about to score the winning run .,neutral,0, the man in the red and red jersey does not imply he is about to score the winning run .,"baseball consists of people running the bases all game , the winning run can only happen once per game .","just because he is running toward base , does n't mean he is about to score the winning run .","not every home run scored in a game is the winning run ; also , not every base on the field is home base .",34
168,entailment,Two men playing baseball with the one in the black and red jersey running toward base .,There is a baseball game going on .,entailment,0," the men are playing baseball , so they are going on .",baseball game implies playing baseball .,running toward base implies a baseball game .,running toward base is nothing but going on,25
169,contradiction,Two men playing baseball with the one in the black and red jersey running toward base .,The man in black and red is sitting in the bleachers .,contradiction,1, the man can not be running and sitting at the same time .,the man in the jersey can not be running and sitting simultaneously,one can not be both running and sitting at the same time .,sitting in the bleachers usually means your watching the game instead of playing .,31
170,neutral,A man and a woman are looking at produce on display .,A man and women are staring at heads of lettuce .,contradiction,0, produce is not the same as lettuce,people can star at produce without it being heads of lettuce .,produce does n't mean it had to be lettuce .,"a man and woman may inspect produce , and this does not imply that they are staring at heads of lettuce .",30
171,contradiction,A man and a woman are looking at produce on display .,Two men throw produce at each other for fun .,contradiction,0, the man can not throw produce at each other while looking at produce .,a man and a woman is different from two men and while one is looking at a produce the other throw the produce at each other .,there can either be a man and a women or two men .,a man and a woman ca n't be two men .,34
172,entailment,A man and a woman are looking at produce on display .,A man and woman are looking at produce .,entailment,0, produce is a synonym for produce .,a man and woman is a paraphrase of a man and a woman .,`` a man and woman are looking at produce '' is a shortened version of `` a man and a woman are looking at produce on display '' .,man and woman are looking at produce ' is a rephrasing of man and a woman are looking at produce on display ',25
173,contradiction,People are throwing tomatoes at each other .,The people are sitting and eating their food .,contradiction,1, people can not be throwing tomatoes and eating their food at the same time .,people who are eating do not throw tomatoes at each other .,people ca n't be throwing tomatoes at each other and sitting and eating at the same time .,people can either be throwing their food or eating their food .,38
174,neutral,People are throwing tomatoes at each other .,The men are covered in tomatoes .,neutral,1, people throwing tomatoes does not imply they are covered in tomatoes .,people can mean that it is not just men .,"even though they are throwing tomatoes at each other , does n't mean they would be covered - they could be missing each other .","people throwing tomatoes at each other may miss , and then no one will be covered in tomatoes .",23
175,entailment,People are throwing tomatoes at each other .,The people are having a food fight .,entailment,1, throwing tomatoes is a form of fighting a fight .,it is implied that throwing tomatoes at each other is having a food fight .,a tomato is a type of food,people throwing tomatoes at each other is a food fight .,33
177,neutral,People standing in line of a beer and curry line .,People happily standing in line,neutral,0, standing in line does not imply happily .,people rarely happily stand in line .,there is no implication that the people standing in line are doing it happily,people who are standing in line may not necessarily be doing so happily .,27
178,contradiction,People standing in line of a beer and curry line .,People not standing in line,contradiction,1, people are either standing or not standing .,people can not being standing in line and not standing in line at the same time .,people standing on beer and curry line,people can not be standing in line and not standing in line simultaneously .,22
179,contradiction,A man and a woman are talking in a park,A man and woman are talking in the aquarium .,contradiction,1, a man and a woman can not be in a park and in the aquarium at the same time .,they can not be talking in a park if they are talking in the aquarium .,an aquarium is not a park .,one can not be inside of an aquarium and at a park at the same time .,39
180,neutral,A man and a woman are talking in a park,The couple discuss their financial future in the park .,neutral,0, not all men and women are a couple ; not all groups of people are a man ; not all groups of people are a couple .,"there is nothing to indicate what they are talking about , or specifically that they are talking about their financial future .",just because it is a man and a woman does n't mean they are a couple .,"people who talk in a park may discuss their financial future , but it 's just as likely that they are talking about something else .",78
181,entailment,A man and a woman are talking in a park,A pair of people are talking outdoors .,entailment,1," a man and a woman are a pair of people , and park implies outdoors .",a pair is composed of a man and a woman ; a park is always outdoors .,man and woman make a pair ; the park is outdoors .,a man and a woman talking means there is a pair of people and in a park means are outdoors .,33
182,contradiction,A small ice cream stand with two people standing near it .,Two people selling ice cream from a car .,neutral,0, just because the people are standing near the ice cream stand does not mean they are selling ice cream .,the two people can not be both near an ice cream stand and be selling from a car simultaneously,an ice cream shop running near by my car parking area .,the ice cream must either be sold from the car or from a stand .,63
183,entailment,A small ice cream stand with two people standing near it .,Two people standing outside an ice cream stand .,entailment,1, the people are standing near ice cream stand so they must be outside an ice cream stand .,peoples are standing outside to buy ice cream .,two people stands near ice cream stand,if the people are near the stand they are outside it .,45
184,neutral,A small ice cream stand with two people standing near it .,Two people in line to buy icecream .,neutral,1, just because people are standing near ice cream stand does n't mean they are buying it .,being near a stand does n't mean you have to buy anything .,"just because two people are standing near an ice cream stand , does n't mean they are in line to buy ice cream .",people who are standing near an ice cream stand are not always in line to buy ice cream .,57
185,contradiction,Number 916 is hoping that he is going to win the race .,A person is is playing baseball .,contradiction,1, a person can not be playing baseball and going to win a race at the same time .,one person is playing baseball while number is hoping to win a race .,the game of baseball is not a race .,baseball is n't a race .,47
186,neutral,Number 916 is hoping that he is going to win the race .,A person is betting that he will win the race .,contradiction,0, the person is either about to win the race or he is losing the race .,number might not be a person ; just because he is hoping that he is going to win does n't mean he is betting that he will win .,a person hoping to win a race need not necessarily be betting that he will win the race .,just because a person is hoping he will win the race it does not mean they were betting .,33
187,entailment,Number 916 is hoping that he is going to win the race .,A person is competing in a race .,entailment,0, number number is a person .,the person is competing because he is hoping that he wins the race .,hoping that he is going to win implies competing .,"number is a person , and hoping that he is going to win implies competing .",23
188,contradiction,Girl plays with colorful letters on the floor .,The girl is playing a video game in the bath .,contradiction,1, the girl can not be playing with a letter on the floor and playing a video game in the bath at the same time .,the girl is either on the floor or in the bath ; the girl is either playing with letters or a video game .,a girl can not play with colorful letters on the floor and be playing a videogame in the bath at the same time .,the girl in the first sentence plays with colorful letters and the girl in the second sentence is playing a video game .,57
189,neutral,Girl plays with colorful letters on the floor .,The girl is spelling out her favorite words with colored letters .,neutral,1, just because the girl is playing with colorful letters on the floor does not mean she is her favorite .,just because she is playing with letters does not mean she is spelling out words .,spelling out her favorite words in not the only way for a girl to play with colorful letters .,just because the girl plays with colorful letters it does not mean she is spelling out her favorite words .,55
190,entailment,Girl plays with colorful letters on the floor .,The girl is having fun learning her letters .,neutral,1, the girl is not necessarily having fun learning .,a girl who is playing with letters is having fun learning with them .,girl plays with colorful letters on the floor is the same as girl having fun learning her letters as playing means having fun .,a girl and girls use letters to learn and play .,28
191,entailment,Two men are cooking food together on the corner of the street .,The men are making something to eat .,neutral,0, cooking food does not imply making something to eat .,`` making something to eat '' is a definition of cooking .,"if you are cooking food , your end goal is making something to eat .",cooking food is the same as making something to eat .,23
192,neutral,Two men are cooking food together on the corner of the street .,The two men are cooking food for the block party .,neutral,1, just because two men are cooking food together on the corner of the street does not mean that they are cooking for the block party .,food can be cooked for things other than a block party .,just because men are cooking food on the corner of a street does n't mean they must be cooking for a block party .,just because men are cooking on the street it does not mean they are cooking for the block party .,18
193,contradiction,Two men are cooking food together on the corner of the street .,The two men are running in a race .,contradiction,1, the men can not be cooking food and running in a race at the same time .,the two men can not be cooking and running at the same time .,the two men can not run in a race and cook food,the men can not obviously be running and cooking simultaneously .,39
194,contradiction,A man wandering in the desert as the clouds roll in .,A man fights dead mummy 's who magically came alive in the desert .,contradiction,0, a man who lies dead can not be wandering in the desert .,wandering in the desert is a different activity than it would be to fight dead 's .,"answer : either the man is wandering in the desert or fights with dead , s",a man can not be wandering in the desert and while he fights dead 's simultaneously .,37
195,entailment,A man wandering in the desert as the clouds roll in .,A man wonders in the desert .,neutral,0, a man wandering in the desert does n't mean he wonders .,wondering is same meaning with wandering .,"wonders may be a typo , but a man wandering in the desert is another way to say a man in the desert .","the man wandering in the desert , is in the desert .",21
196,neutral,A man wandering in the desert as the clouds roll in .,A man and a camel wonder in the desert .,neutral,0, a man can be wandering in the desert without being in a desert .,it is n't clear that there is a camel present as the man wanders .,a man does n't need a camel to wander the desert ; just because someone is wandering does n't mean they must be in a state of wonder .,just because a man is wandering in the desert it does not mean there is a camel with him .,31
197,contradiction,A lady with bright orange hair walking in a crowd .,The woman is asleep .,contradiction,1, one can not be walking and asleep simultaneously .,walking is contradictory to sleeping .,walking in a crowd means a woman is not asleep .,the woman can not be both walking and asleep .,35
198,entailment,A lady with bright orange hair walking in a crowd .,A woman is near a group of people .,entailment,1, a lady is a woman and crowd is a group of people .,a lady is a woman ; a crowd is a group of people .,a lady is the same as a woman .,"lady is a woman , and group of people is a crowd .",19
199,contradiction,A lady with bright orange hair walking in a crowd .,The street performer is entertaining the tourists .,neutral,0, not all lady with bright orange hair walking in a crowd is street performer .,a street performer would n't be walking in a crowd during his or her act .,a lady walking in a crowd or entertaining the tourists .,one is either waking in a crowd or entertaining .,28
200,neutral,"A white-haired man with a mustache and glasses in a business suit stands outside at a podium marked with the seal of the US House of Representatives , surrounded by many people , with a columned building behind him .",The man is getting ready to speak .,entailment,0," a man with a mustache and glasses in a business suit stands outside at a podium with a seal of the us church of church , surrounded by many people , with a seal of the us church of ,",a man outside at a podium does not necessarily mean his is getting ready to speak .,just because a person stands at a podium with other people surrounding him does n't mean that the man must be getting ready to speak .,just because a man is at podium surrounded by many people it does not mean the man is getting ready to speak .,69
